run,operation,started,time,status,label,base_loss,batch_size,csv_train,decay_f,exp,lambd,load_checkpoint,lr,metric,model_name,n_classes,n_epochs,optimizer,oversample,patience,pretrained,save_model,step,acc,auc,kappa
cdf9946a,eyepacs:train,2020-03-12 22:17:23,0:10:58,completed,base_loss=ce batch_size=8 csv_train=train_artifact.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.001 metric=auc model_name=resnet50 n_classes=6 n_epochs=50 optimizer=sgd oversample=1/5/1/2/2/5 patience=5 pretrained=yes save_model=no,ce,8,train_artifact.csv,0.1,1,0,False,0.001,auc,resnet50,6,50,sgd,1/5/1/2/2/5,5,True,False,0,0.6025000214576721,0.856909990310669,0.771481990814209
c9845e92,eyepacs:dr_grade_from_eyepacs_artifact,2020-03-12 22:17:22,6:03:17,completed,,,,,,,,,,,,,,,,,,,0,0.6650000214576721,0.8793370127677917,0.813086986541748
9e01e6dd,eyepacs:train,2020-03-12 21:47:59,0:28:01,completed,base_loss=focal_loss batch_size=8 csv_train=train_quality.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0001 metric=auc model_name=resnext50_sws n_classes=2 n_epochs=50 optimizer=sgd oversample=1/1 patience=5 pretrained=yes save_model=no,focal_loss,8,train_quality.csv,0.1,1,0,False,0.0001,auc,resnext50_sws,2,50,sgd,1/1,5,True,False,0,0.7475000023841858,0.8282319903373718,0.0
377c3e56,eyepacs:train,2020-03-12 21:21:48,0:26:11,completed,base_loss=focal_loss batch_size=8 csv_train=train_quality.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0001 metric=auc model_name=resnext50 n_classes=2 n_epochs=50 optimizer=sgd oversample=1/1 patience=5 pretrained=yes save_model=no,focal_loss,8,train_quality.csv,0.1,1,0,False,0.0001,auc,resnext50,2,50,sgd,1/1,5,True,False,0,0.699999988079071,0.8055750131607056,0.0
3615cdfd,eyepacs:train,2020-03-12 21:06:43,0:15:04,completed,base_loss=focal_loss batch_size=8 csv_train=train_quality.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0001 metric=auc model_name=resnet50_sws n_classes=2 n_epochs=50 optimizer=sgd oversample=1/1 patience=5 pretrained=yes save_model=no,focal_loss,8,train_quality.csv,0.1,1,0,False,0.0001,auc,resnet50_sws,2,50,sgd,1/1,5,True,False,0,0.7475000023841858,0.8208469748497009,0.0
a5cc9bcd,eyepacs:train,2020-03-12 20:45:30,0:21:13,completed,base_loss=focal_loss batch_size=8 csv_train=train_quality.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0001 metric=auc model_name=resnet50 n_classes=2 n_epochs=50 optimizer=sgd oversample=1/1 patience=5 pretrained=yes save_model=no,focal_loss,8,train_quality.csv,0.1,1,0,False,0.0001,auc,resnet50,2,50,sgd,1/1,5,True,False,0,0.7225000262260437,0.8022249937057495,0.0
3024a4c4,eyepacs:train,2020-03-12 20:26:46,0:18:44,completed,base_loss=focal_loss batch_size=8 csv_train=train_quality.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.001 metric=auc model_name=resnext50_sws n_classes=2 n_epochs=50 optimizer=sgd oversample=1/1 patience=5 pretrained=yes save_model=no,focal_loss,8,train_quality.csv,0.1,1,0,False,0.001,auc,resnext50_sws,2,50,sgd,1/1,5,True,False,0,0.7425000071525574,0.8171250224113464,0.0
61b43ba1,eyepacs:train,2020-03-12 20:14:34,0:12:11,completed,base_loss=focal_loss batch_size=8 csv_train=train_quality.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.001 metric=auc model_name=resnext50 n_classes=2 n_epochs=50 optimizer=sgd oversample=1/1 patience=5 pretrained=yes save_model=no,focal_loss,8,train_quality.csv,0.1,1,0,False,0.001,auc,resnext50,2,50,sgd,1/1,5,True,False,0,0.7074999809265137,0.8172150254249573,0.0
36f084b8,eyepacs:train,2020-03-12 20:02:55,0:11:39,completed,base_loss=focal_loss batch_size=8 csv_train=train_quality.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.001 metric=auc model_name=resnet50_sws n_classes=2 n_epochs=50 optimizer=sgd oversample=1/1 patience=5 pretrained=yes save_model=no,focal_loss,8,train_quality.csv,0.1,1,0,False,0.001,auc,resnet50_sws,2,50,sgd,1/1,5,True,False,0,0.7425000071525574,0.8156989812850952,0.0
1851d66b,eyepacs:train,2020-03-12 19:51:56,0:10:58,completed,base_loss=focal_loss batch_size=8 csv_train=train_quality.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.001 metric=auc model_name=resnet50 n_classes=2 n_epochs=50 optimizer=sgd oversample=1/1 patience=5 pretrained=yes save_model=no,focal_loss,8,train_quality.csv,0.1,1,0,False,0.001,auc,resnet50,2,50,sgd,1/1,5,True,False,0,0.7425000071525574,0.8202360272407532,0.0
08f75de2,eyepacs:train,2020-03-12 19:27:35,0:24:21,completed,base_loss=ce batch_size=8 csv_train=train_quality.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0001 metric=auc model_name=resnext50_sws n_classes=2 n_epochs=50 optimizer=sgd oversample=1/1 patience=5 pretrained=yes save_model=no,ce,8,train_quality.csv,0.1,1,0,False,0.0001,auc,resnext50_sws,2,50,sgd,1/1,5,True,False,0,0.7599999904632568,0.8384019732475281,0.0
7122c1fb,eyepacs:train,2020-03-12 19:03:13,0:24:21,completed,base_loss=ce batch_size=8 csv_train=train_quality.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0001 metric=auc model_name=resnext50 n_classes=2 n_epochs=50 optimizer=sgd oversample=1/1 patience=5 pretrained=yes save_model=no,ce,8,train_quality.csv,0.1,1,0,False,0.0001,auc,resnext50,2,50,sgd,1/1,5,True,False,0,0.7450000047683716,0.8334550261497498,0.0
4d22282e,eyepacs:train,2020-03-12 18:54:59,0:08:14,completed,base_loss=ce batch_size=8 csv_train=train_quality.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0001 metric=auc model_name=resnet50_sws n_classes=2 n_epochs=50 optimizer=sgd oversample=1/1 patience=5 pretrained=yes save_model=no,ce,8,train_quality.csv,0.1,1,0,False,0.0001,auc,resnet50_sws,2,50,sgd,1/1,5,True,False,0,0.7749999761581421,0.83502197265625,0.0
a0dc6abf,eyepacs:train,2020-03-12 18:37:10,0:17:48,completed,base_loss=ce batch_size=8 csv_train=train_quality.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0001 metric=auc model_name=resnet50 n_classes=2 n_epochs=50 optimizer=sgd oversample=1/1 patience=5 pretrained=yes save_model=no,ce,8,train_quality.csv,0.1,1,0,False,0.0001,auc,resnet50,2,50,sgd,1/1,5,True,False,0,0.7350000143051147,0.8309490084648132,0.0
692ec6be,eyepacs:train,2020-03-12 18:18:25,0:18:44,completed,base_loss=ce batch_size=8 csv_train=train_quality.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.001 metric=auc model_name=resnext50_sws n_classes=2 n_epochs=50 optimizer=sgd oversample=1/1 patience=5 pretrained=yes save_model=no,ce,8,train_quality.csv,0.1,1,0,False,0.001,auc,resnext50_sws,2,50,sgd,1/1,5,True,False,0,0.737500011920929,0.8213580250740051,0.0
7db4e59f,eyepacs:train,2020-03-12 18:08:59,0:09:25,completed,base_loss=ce batch_size=8 csv_train=train_quality.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.001 metric=auc model_name=resnext50 n_classes=2 n_epochs=50 optimizer=sgd oversample=1/1 patience=5 pretrained=yes save_model=no,ce,8,train_quality.csv,0.1,1,0,False,0.001,auc,resnext50,2,50,sgd,1/1,5,True,False,0,0.7300000190734863,0.8133350014686584,0.0
1f27bcd5,eyepacs:train,2020-03-12 17:59:10,0:09:49,completed,base_loss=ce batch_size=8 csv_train=train_quality.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.001 metric=auc model_name=resnet50_sws n_classes=2 n_epochs=50 optimizer=sgd oversample=1/1 patience=5 pretrained=yes save_model=no,ce,8,train_quality.csv,0.1,1,0,False,0.001,auc,resnet50_sws,2,50,sgd,1/1,5,True,False,0,0.7450000047683716,0.8170909881591797,0.0
13698bd3,eyepacs:train,2020-03-12 17:45:01,0:14:08,completed,base_loss=ce batch_size=8 csv_train=train_quality.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.001 metric=auc model_name=resnet50 n_classes=2 n_epochs=50 optimizer=sgd oversample=1/1 patience=5 pretrained=yes save_model=no,ce,8,train_quality.csv,0.1,1,0,False,0.001,auc,resnet50,2,50,sgd,1/1,5,True,False,0,0.7674999833106995,0.8246129751205444,0.0
d2e3b34e,eyepacs:dr_grade_from_eyepacs_quality,2020-03-12 17:45:00,4:31:00,completed,,,,,,,,,,,,,,,,,,,0,0.7475000023841858,0.8282319903373718,0.0
