run,operation,started,time,status,label,base_loss,batch_size,csv_train,decay_f,exp,lambd,load_checkpoint,lr,metric,model_name,n_classes,n_epochs,optimizer,oversample,patience,pretrained,save_model,step,acc,auc,kappa
25a2b87c,eyepacs:train,2020-03-31 19:11:00,0:13:40,completed,base_loss=ce batch_size=8 csv_train=train_q_4.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0003 metric=auc model_name=resnet50_sws n_classes=2 n_epochs=50 optimizer=sgd oversample=1/1 patience=5 pretrained=yes save_model=no,ce,8,train_q_4.csv,0.1,1,0,False,0.0003,auc,resnet50_sws,2,50,sgd,1/1,5,True,False,0,0.7549999952316284,0.8252050280570984,0.0
e8415e24,eyepacs:train,2020-03-31 18:58:50,0:12:10,completed,base_loss=ce batch_size=8 csv_train=train_q_4.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0003 metric=auc model_name=resnext50 n_classes=2 n_epochs=50 optimizer=sgd oversample=1/1 patience=5 pretrained=yes save_model=no,ce,8,train_q_4.csv,0.1,1,0,False,0.0003,auc,resnext50,2,50,sgd,1/1,5,True,False,0,0.7524999976158142,0.8358439803123474,0.0
f14889d6,eyepacs:train,2020-03-31 18:49:55,0:08:54,completed,base_loss=ce batch_size=8 csv_train=train_q_4.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0003 metric=auc model_name=resnet50 n_classes=2 n_epochs=50 optimizer=sgd oversample=1/1 patience=5 pretrained=yes save_model=no,ce,8,train_q_4.csv,0.1,1,0,False,0.0003,auc,resnet50,2,50,sgd,1/1,5,True,False,0,0.7174999713897705,0.8212080001831055,0.0
7956b011,eyepacs:train,2020-03-31 18:39:37,0:10:18,completed,base_loss=ce batch_size=8 csv_train=train_q_3.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0003 metric=auc model_name=resnext50_sws n_classes=2 n_epochs=50 optimizer=sgd oversample=1/1 patience=5 pretrained=yes save_model=no,ce,8,train_q_3.csv,0.1,1,0,False,0.0003,auc,resnext50_sws,2,50,sgd,1/1,5,True,False,0,0.7400000095367432,0.8105670213699341,0.0
df265861,eyepacs:train,2020-03-31 18:34:07,0:05:29,completed,base_loss=ce batch_size=8 csv_train=train_q_3.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0003 metric=auc model_name=resnet50_sws n_classes=2 n_epochs=50 optimizer=sgd oversample=1/1 patience=5 pretrained=yes save_model=no,ce,8,train_q_3.csv,0.1,1,0,False,0.0003,auc,resnet50_sws,2,50,sgd,1/1,5,True,False,0,0.7400000095367432,0.8223479986190796,0.0
8d3472d5,eyepacs:train,2020-03-31 18:19:08,0:14:58,completed,base_loss=ce batch_size=8 csv_train=train_q_3.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0003 metric=auc model_name=resnext50 n_classes=2 n_epochs=50 optimizer=sgd oversample=1/1 patience=5 pretrained=yes save_model=no,ce,8,train_q_3.csv,0.1,1,0,False,0.0003,auc,resnext50,2,50,sgd,1/1,5,True,False,0,0.7275000214576721,0.812250018119812,0.0
55892a2f,eyepacs:train,2020-03-31 18:09:33,0:09:35,completed,base_loss=ce batch_size=8 csv_train=train_q_3.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0003 metric=auc model_name=resnet50 n_classes=2 n_epochs=50 optimizer=sgd oversample=1/1 patience=5 pretrained=yes save_model=no,ce,8,train_q_3.csv,0.1,1,0,False,0.0003,auc,resnet50,2,50,sgd,1/1,5,True,False,0,0.7350000143051147,0.8144389986991882,0.0
8d900273,eyepacs:train,2020-03-31 18:02:59,0:06:34,completed,base_loss=ce batch_size=8 csv_train=train_q_2.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0003 metric=auc model_name=resnext50_sws n_classes=2 n_epochs=50 optimizer=sgd oversample=1/1 patience=5 pretrained=yes save_model=no,ce,8,train_q_2.csv,0.1,1,0,False,0.0003,auc,resnext50_sws,2,50,sgd,1/1,5,True,False,0,0.7200000286102295,0.7752659916877747,0.0
9ff2fec4,eyepacs:train,2020-03-31 17:58:50,0:04:08,completed,base_loss=ce batch_size=8 csv_train=train_q_2.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0003 metric=auc model_name=resnet50_sws n_classes=2 n_epochs=50 optimizer=sgd oversample=1/1 patience=5 pretrained=yes save_model=no,ce,8,train_q_2.csv,0.1,1,0,False,0.0003,auc,resnet50_sws,2,50,sgd,1/1,5,True,False,0,0.7425000071525574,0.7925779819488525,0.0
6f765230,eyepacs:train,2020-03-31 17:52:16,0:06:34,completed,base_loss=ce batch_size=8 csv_train=train_q_2.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0003 metric=auc model_name=resnext50 n_classes=2 n_epochs=50 optimizer=sgd oversample=1/1 patience=5 pretrained=yes save_model=no,ce,8,train_q_2.csv,0.1,1,0,False,0.0003,auc,resnext50,2,50,sgd,1/1,5,True,False,0,0.7149999737739563,0.7692819833755493,0.0
8f48739a,eyepacs:train,2020-03-31 17:45:24,0:06:52,completed,base_loss=ce batch_size=8 csv_train=train_q_2.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0003 metric=auc model_name=resnet50 n_classes=2 n_epochs=50 optimizer=sgd oversample=1/1 patience=5 pretrained=yes save_model=no,ce,8,train_q_2.csv,0.1,1,0,False,0.0003,auc,resnet50,2,50,sgd,1/1,5,True,False,0,0.6924999952316284,0.7782049775123596,0.0
ad489a1b,eyepacs:train,2020-03-31 17:36:02,0:09:21,completed,base_loss=ce batch_size=8 csv_train=train_q_1.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0003 metric=auc model_name=resnext50_sws n_classes=2 n_epochs=50 optimizer=sgd oversample=1/1 patience=5 pretrained=yes save_model=no,ce,8,train_q_1.csv,0.1,1,0,False,0.0003,auc,resnext50_sws,2,50,sgd,1/1,5,True,False,0,0.7275000214576721,0.8106989860534668,0.0
052c5c5a,eyepacs:train,2020-03-31 17:27:08,0:08:53,completed,base_loss=ce batch_size=8 csv_train=train_q_1.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0003 metric=auc model_name=resnet50_sws n_classes=2 n_epochs=50 optimizer=sgd oversample=1/1 patience=5 pretrained=yes save_model=no,ce,8,train_q_1.csv,0.1,1,0,False,0.0003,auc,resnet50_sws,2,50,sgd,1/1,5,True,False,0,0.7325000166893005,0.8137009739875793,0.0
5c90073a,eyepacs:train,2020-03-31 17:15:54,0:11:13,completed,base_loss=ce batch_size=8 csv_train=train_q_1.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0003 metric=auc model_name=resnext50 n_classes=2 n_epochs=50 optimizer=sgd oversample=1/1 patience=5 pretrained=yes save_model=no,ce,8,train_q_1.csv,0.1,1,0,False,0.0003,auc,resnext50,2,50,sgd,1/1,5,True,False,0,0.75,0.829666018486023,0.0
33d6e1db,eyepacs:train,2020-03-31 17:04:58,0:10:56,completed,base_loss=ce batch_size=8 csv_train=train_q_1.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0003 metric=auc model_name=resnet50 n_classes=2 n_epochs=50 optimizer=sgd oversample=1/1 patience=5 pretrained=yes save_model=no,ce,8,train_q_1.csv,0.1,1,0,False,0.0003,auc,resnet50,2,50,sgd,1/1,5,True,False,0,0.7225000262260437,0.8271830081939697,0.0
ffb8b04c,eyepacs:dr_grade_quality,2020-03-31 17:04:57,2:29:06,completed,,,,,,,,,,,,,,,,,,,0,0.7674999833106995,0.8174020051956177,0.0
